candidate_name,mean_pct,sd_pct,min_pct,max_pct,n_polls
Donald Trump,44.55547906976747,4.890677819973289,18,70,5375
Joe Biden,41.64030604026845,4.893104045444679,14.8,68,3725
Kamala Harris,46.896091693145685,4.708933219537763,25,70,2203
Robert F. Kennedy,11.50377358490569,11.352981952467893,0,66.8,1219
Jill Stein,1.1645221843003388,0.9018802034088443,0,8,1172
Cornel West,1.3762790697674427,1.2875946535606857,0,9,860
Chase Oliver,0.8881230769230772,0.7962960384320442,0,4,650
Ron DeSantis,40.32260964912281,6.212606289716707,18,53.2,456
Nikki Haley,38.658,10.050251390892377,10,59,150
Lars Mapstead,1.4087719298245616,0.8958795960543842,0,4,57
Gavin Newsom,40.15,6.069847508833134,31,55,42
Randall A. Terry,0.12647058823529414,0.2905677029847353,0,1,34
Gretchen Whitmer,42.94827586206897,5.820629610621124,32,52,29
"Joe Manchin, III",6.575862068965517,8.237269622723202,0,46,29
Claudia De La Cruz,0.7333333333333333,0.7332750559594318,0,2,27
Mike Pence,38.21923076923077,6.799118721173751,20,54,26
Tim Scott,36.28636363636364,5.231888983690531,19,46,22
Vivek G. Ramaswamy,32.21,9.267822091289274,13,45,20
Josh Shapiro,44.778571428571425,4.504045800325367,37.9,54,14
Liz Cheney,22.916666666666664,16.962302230820466,11,58,12
Pete Buttigieg,42.175,3.9432623780086176,35,47,12
Hillary Rodham Clinton,41.955555555555556,1.0944303439588006,40.4,43,9
J.B. Pritzker,40.125,7.039429765866794,29,51,8
Michelle Obama,45.325,2.470251577702736,41.6,50,8
Bernie Sanders,43.114285714285714,2.8887301543692017,39.8,47.6,7
Chris Christie,30.685714285714287,10.412721157543878,15,44,7
Joseph Kishore,0.02857142857142857,0.07559289460184546,0,0.2,7
Glenn Youngkin,44.2,10.256705123966467,34,55,5
Joel Skousen,0.2,0.44721359549995804,0,1,5
Mitt Romney,31.04,4.875756351582798,22.9,35,5
JD Vance,39.25,2.0615528128088303,37,42,4
Matthew David McConaughey,13,1.8257418583505538,11,15,4
Andrew Yang,7.333333333333333,2.0816659994661326,5,9,3
Chris Sununu,48.199999999999996,4.503332099679081,43.8,52.8,3
Elizabeth Ann Warren,43.8,4.590206967011401,38.9,48,3
Larry Hogan,14.666666666666666,11.718930554164631,6,28,3
Shiva Ayyadurai,0.6,0.5291502622129182,0,1,3
Taylor Swift,13.766666666666667,10.614298532325787,7,26,3
Ted Cruz,33.333333333333336,8.144527815247079,24,39,3
Andy Beshear,33.5,3.5355339059327378,31,36,2
Mark Cuban,12.15,11.525840533340725,4,20.3,2
Mike Pompeo,36.5,6.363961030678928,32,41,2
Al Gore,42.2,NA,42.2,42.2,1
Amy Klobuchar,43,NA,43,43,1
Andy Cohen,4,NA,4,4,1
Cory A. Booker,44,NA,44,44,1
Dean Phillips,2,NA,2,2,1
Elon Reeve Musk,29.3,NA,29.3,29.3,1
Jerome Michael Segal,40,NA,40,40,1
Josh Hawley,31,NA,31,31,1
Kanye West,6,NA,6,6,1
Kristi Noem,31,NA,31,31,1
Marco Rubio,37,NA,37,37,1
Mark Kelly,43,NA,43,43,1
Peter Sonski,0.7,NA,0.7,0.7,1
Philip Murphy,33,NA,33,33,1
Raphael Warnock,40,NA,40,40,1
Rick Scott,33,NA,33,33,1
Roy A. Cooper,41,NA,41,41,1
Tom Cotton,31,NA,31,31,1
